name,path,file_cid,file_status,thumb_cid,thumb_path,thumb_status,metadata_cid,metadata_status
99.webp,/Users/willsmillie/Desktop/MOCK_NFTS/99.webp,QmcZaoF3yK2UHT64qJyuqdVvvEt1fxWF6aeAEdfe1cLLSu,ok,Qme4iLiuH67SMbbHZRBxJPg4SA4dYoEt1rokPk4WnRijC2,99.gif,ok,Qmau83X7TKU5SpUHBDbzzhPAwEwppaEJeaEuSAgYthwAZX,ok
100.webp,/Users/willsmillie/Desktop/MOCK_NFTS/100.webp,QmcZaoF3yK2UHT64qJyuqdVvvEt1fxWF6aeAEdfe1cLLSu,ok,Qme4iLiuH67SMbbHZRBxJPg4SA4dYoEt1rokPk4WnRijC2,100.gif,ok,QmZ4hXSB6ukbGF5DoDzMwf4QqztMLXQAi7F2kGVpuPZ86L,ok
